id,code,name,division
l10n_mx_wbl_dangerous_material_M0001,M0001,"PICRATO AMÓNICO seco o humedecido con menos del 10 %, en masa, de agua (Producto o material explosivo)",1.1D
l10n_mx_wbl_dangerous_material_M0002,M0002,"CARTUCHOS PARA ARMAS, con carga explosiva (Producto o material explosivo)",1.1
l10n_mx_wbl_dangerous_material_M0003,M0003,"CARTUCHOS PARA ARMAS, con carga explosiva (Producto o material explosivo)",1.1E
l10n_mx_wbl_dangerous_material_M0004,M0004,"CARTUCHOS PARA ARMAS, con carga explosiva (Producto o material explosivo)",1.2
l10n_mx_wbl_dangerous_material_M0005,M0005,"MUNICIONES INCENDIARIAS con o sin carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",1.2G
l10n_mx_wbl_dangerous_material_M0006,M0006,"MUNICIONES INCENDIARIAS con o sin carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",1.3G
l10n_mx_wbl_dangerous_material_M0007,M0007,"CARTUCHOS PARA ARMAS, CON PROYECTIL INERTE, o CARTUCHOS PARA ARMAS DE PEQUEÑO CALIBRE (Producto o material explosivo)",1.4S
l10n_mx_wbl_dangerous_material_M0008,M0008,"CARTUCHOS DE FOGUEO PARA ARMAS, , o CARTUCHOS DE FOGUEO PARA ARMAS DE PEQUEÑO CALIBRE, o CARTUCHOS SIN CARGA PARA HERRAMIENTAS (Producto o material explosivo)",1.4S
l10n_mx_wbl_dangerous_material_M0009,M0009,"MUNICIONES FUMÍGENAS con o sin carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",1.2G
l10n_mx_wbl_dangerous_material_M0010,M0010,"MUNICIONES FUMÍGENAS con o sin carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",1.3G
l10n_mx_wbl_dangerous_material_M0011,M0011,"MUNICIONES LACRIMÓGENAS con carga dispersora, carga expulsora o carga propulsora  (Producto o material explosivo)",1.2G
l10n_mx_wbl_dangerous_material_M0012,M0012,"MUNICIONES LACRIMÓGENAS con carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",1.3G
l10n_mx_wbl_dangerous_material_M0013,M0013,"MUNICIONES TÓXICAS con carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",1.2K
l10n_mx_wbl_dangerous_material_M0014,M0014,"MUNICIONES TÓXICAS con carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",1.3K
l10n_mx_wbl_dangerous_material_M0015,M0015,PÓLVORA NEGRA (PÓLVORA DE CAÑÓN) en forma de granos o polvo (Producto o material explosivo),1.1D
l10n_mx_wbl_dangerous_material_M0016,M0016,PÓLVORA NEGRA (PÓLVORA DE CAÑÓN) COMPRIMIDA o PÓLVORA NEGRA (PÓLVORA DE CAÑÓN) EN COMPRIMIDOS (Producto o material explosivo),1.1D
l10n_mx_wbl_dangerous_material_M0017,M0017,DETONADORES NO ELÉCTRICOS para voladuras (Producto o material explosivo),1.1B
l10n_mx_wbl_dangerous_material_M0018,M0018,DETONADORES ELÉCTRICOS para voladuras (Producto o material explosivo),1.1B
l10n_mx_wbl_dangerous_material_M0019,M0019,BOMBAS con carga explosiva (Producto o material explosivo),1.1
l10n_mx_wbl_dangerous_material_M0020,M0020,BOMBAS con carga explosiva (Producto o material explosivo),1.1D
l10n_mx_wbl_dangerous_material_M0021,M0021,BOMBAS con carga explosiva (Producto o material explosivo),1.2D
l10n_mx_wbl_dangerous_material_M0022,M0022,BOMBAS DE ILUMINACIÓN PARA FOTOGRAFÍA (Producto o material explosivo),1.1
l10n_mx_wbl_dangerous_material_M0023,M0023,BOMBAS DE ILUMINACIÓN PARA FOTOGRAFÍA (Producto o material explosivo),1.1D
l10n_mx_wbl_dangerous_material_M0024,M0024,BOMBAS DE ILUMINACIÓN PARA FOTOGRAFÍA (Producto o material explosivo),1.2G
l10n_mx_wbl_dangerous_material_M0025,M0025,MULTIPLICADORES sin detonador (Producto o material explosivo),1.1D
l10n_mx_wbl_dangerous_material_M0026,M0026,CARGAS DISPERSORAS (Producto o material explosivo),1.1D
l10n_mx_wbl_dangerous_material_M0027,M0027,CEBOS DEL TIPO DE CÁPSULA (Producto o material explosivo),1.4S
l10n_mx_wbl_dangerous_material_M0028,M0028,CARGAS DE DEMOLICIÓN (Producto o material explosivo),1.1D
l10n_mx_wbl_dangerous_material_M0029,M0029,CARTUCHOS FULGURANTES (Producto o material explosivo),1.1G
l10n_mx_wbl_dangerous_material_M0030,M0030,CARTUCHOS FULGURANTES (Producto o material explosivo),1.3G
l10n_mx_wbl_dangerous_material_M0031,M0031,CARTUCHOS DE SEÑALES (Producto o material explosivo),1.3G
l10n_mx_wbl_dangerous_material_M0032,M0032,"VAINAS DE CARTUCHOS VACÍOS, CON CEBO (Producto o material explosivo)",1.4S
l10n_mx_wbl_dangerous_material_M0033,M0033,CARGAS DE PROFUNDIDAD (Producto o material explosivo),1.1D
l10n_mx_wbl_dangerous_material_M0034,M0034,CARGAS HUECAS sin detonador (Producto o material explosivo),1.1D
l10n_mx_wbl_dangerous_material_M0035,M0035,CARGAS EXPLOSIVAS PARA MULTIPLICADORES (Producto o material explosivo),1.1D
l10n_mx_wbl_dangerous_material_M0036,M0036,MECHA DETONANTE flexible (Producto o material explosivo),1.1D
l10n_mx_wbl_dangerous_material_M0037,M0037,MECHA DE COMBUSTIÓN RÁPIDA (Producto o material explosivo),1.4G
l10n_mx_wbl_dangerous_material_M0038,M0038,CORTACABLES CON CARGA EXPLOSIVA (Producto o material explosivo),1.4S
l10n_mx_wbl_dangerous_material_M0039,M0039,"CICLOTRIMETILENTRINITRAMI NA (CICLONITA; RDX; HEXÓGENO) HUMEDECIDA con un mínimo del 15 %, en masa, de agua (Producto o material explosivo)",1.1D
l10n_mx_wbl_dangerous_material_M0040,M0040,DETONADORES PARA MUNICIONES (Producto o material explosivo),1.1B
l10n_mx_wbl_dangerous_material_M0041,M0041,"DIAZODINITROFENOL HUMEDECIDO con un mínimo del 40 %, en masa, de agua o de una mezcla de alcohol y agua (Producto o material explosivo)",1.1A
l10n_mx_wbl_dangerous_material_M0042,M0042,"DINITRATO DE DIETILENGLICOL DESENSIBILIZADO con un mínimo del 25 %, en masa, de flemador no volátil insoluble en agua (Producto o material explosivo)",1.1D
l10n_mx_wbl_dangerous_material_M0043,M0043,"DINITROFENOL seco o humedecido con menos del 15 %, en masa, de agua (Producto o material explosivo)",1.1D
l10n_mx_wbl_dangerous_material_M0044,M0044,"DINITROFENOLATOS de metales alcalinos, secos o humedecidos con
menos del 15 %, en masa, de agua (Producto o material explosivo)",1.3C
l10n_mx_wbl_dangerous_material_M0045,M0045,"DINITRORRESORCINOL seco o humedecido con menos del 15 %, en masa, de agua (Producto o material explosivo)",1.1D
l10n_mx_wbl_dangerous_material_M0046,M0046,HEXANITRODIFENILAMINA (DIPICRILAMINA; HEXILO) (Producto o material explosivo),1.1D
l10n_mx_wbl_dangerous_material_M0047,M0047,"EXPLOSIVOS PARA VOLADURAS, TIPO A (Producto o material explosivo)",1.1D
l10n_mx_wbl_dangerous_material_M0048,M0048,"EXPLOSIVOS PARA VOLADURAS, TIPO B (Producto o material explosivo)",1.1D
l10n_mx_wbl_dangerous_material_M0049,M0049,"EXPLOSIVOS PARA VOLADURAS, TIPO C (Producto o material explosivo)",1.1D
l10n_mx_wbl_dangerous_material_M0050,M0050,"EXPLOSIVOS PARA VOLADURAS, TIPO D (Producto o material explosivo)",1.1D
l10n_mx_wbl_dangerous_material_M0051,M0051,BENGALAS DE SUPERFICIE (Producto o material explosivo),1.3G
l10n_mx_wbl_dangerous_material_M0052,M0052,BENGALAS AÉREAS (Producto o material explosivo),1.3G
l10n_mx_wbl_dangerous_material_M0053,M0053,PÓLVORA DE DESTELLOS (Producto o material explosivo),1.1G
l10n_mx_wbl_dangerous_material_M0054,M0054,"DISPOSITIVOS EXPLOSIVOS DE FRACTURACIÓN sin detonador, para pozos de petróleo",1.1D
l10n_mx_wbl_dangerous_material_M0055,M0055,MECHA NO DETONANTE (Producto o material explosivo),1.3G
l10n_mx_wbl_dangerous_material_M0056,M0056,MECHA DETONANTE con envoltura metálica (Producto o material explosivo),1.2D
